JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	1040002073	20110415	11040002073 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	1090002218	20110909	11090002218 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN182	20111028	FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN183	20120119	12120002375 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN184	20120130	FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	2040002469	20120410	12040002469 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN185	20120430	FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	2090002602	20120910	12090002602 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	2120002730	20121218	12120002730 FELINE FCB	521,31	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	3010002787	20130116	13010002787 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN186	20130130	SARL FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN187	20130222	FELINE FCB	0,00	900,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	3040002916	20130415	13040002916 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN188	20130503	SARL FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN189	20130730	SARL FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	3090003113	20130914	13090003113 FELINE FCB	437,59	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN190	20131030	SARL FELINE FCB	0,00	450,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	SAN191	20131216	FELINE FCB	0,00	34,08			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	3120003248	20131217	13120003248 FELINE FCB	521,31	0,00			20170515		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006014	FELINE FCB	4010003310	20140116	14010003310 FELINE FCB	440,58	0,00			20170515		
